Vgs,Vds,Ids
0.8383838383838385,4.65,0.08368825266411521
0.8383838383838385,4.7,0.08376482014139255
0.8383838383838385,4.75,0.08384138761866987
0.8383838383838385,4.800000000000001,0.0839179550959472
0.8383838383838385,4.8500000000000005,0.08399452257322451
0.8383838383838385,4.9,0.08407109005050185
0.8383838383838385,4.95,0.08414765752777917
0.8575757575757577,0.0,0.0
0.8575757575757577,0.05,0.03864772646428047
0.8575757575757577,0.1,0.06700197116325482
0.8575757575757577,0.15000000000000002,0.085031684096923
0.8575757575757577,0.2,0.09270581526528508
0.8575757575757577,0.25,0.09307411480721235
0.8575757575757577,0.30000000000000004,0.09316672586672205
0.8575757575757577,0.35000000000000003,0.09325933692623169
0.8575757575757577,0.4,0.09335194798574137
0.8575757575757577,0.45,0.09344455904525102
0.8575757575757577,0.5,0.09353717010476069
0.8575757575757577,0.55,0.09362978116427034
0.8575757575757577,0.6000000000000001,0.09372239222378002
0.8575757575757577,0.65,0.09381500328328968
0.8575757575757577,0.7000000000000001,0.09390761434279934
0.8575757575757577,0.75,0.09400022540230901
0.8575757575757577,0.8,0.09409283646181868
0.8575757575757577,0.8500000000000001,0.09418544752132833
0.8575757575757577,0.9,0.09427805858083801
0.8575757575757577,0.9500000000000001,0.09437066964034767
